task_id,instance_id,region,arm,charge_timing_policy,seed,depot_id,slot_index,slot_start_second,slot_end_second,charging_energy_kwh,electricity_cost_cny,charging_emissions_kgco2e
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,8,14400,16200,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,9,16200,18000,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,10,18000,19800,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,11,19800,21600,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,12,21600,23400,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,13,23400,25200,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,14,25200,27000,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,15,27000,28800,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,16,28800,30600,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,17,30600,32400,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,18,32400,34200,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,19,34200,36000,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,20,36000,37800,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,21,37800,39600,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,22,39600,41400,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,23,41400,43200,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,24,43200,45000,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,25,45000,46800,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,26,46800,48600,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,27,48600,50400,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,28,50400,52200,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,29,52200,54000,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,30,54000,55800,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,31,55800,57600,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,32,57600,59400,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,33,59400,61200,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,34,61200,63000,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,35,63000,64800,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,36,64800,66600,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,37,66600,68400,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,38,68400,70200,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,39,70200,72000,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,40,72000,73800,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,41,73800,75600,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,42,75600,77400,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,43,77400,79200,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,44,79200,81000,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,45,81000,82800,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,46,82800,84600,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chengdu,47,84600,86400,0.0,0.0,0.0
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,D_chongqing,0,0,1800,22.0,8.837048,6.844199999999999
